,age,Gender,Educational Qualification ,income,Family type, Location,reside,Occupation,dependent,marital_status,Mother tongue,read_eWOMS, Save time,Detailed product information,Visual demonstrations in video reviews,Trust in reputable reviewers,Recommendations from like-minded individuals,Engaging with a community of reviewers,Availability of a wide range of information,Reviews are transparent and authentic,Assurance of customer satisfaction,Confirmation of product suitability for specific needs,Confidence in my knowledge about the product ,Lack of interest in others opinion,Confidence in my own decision making abilities,Prefer seek advice from experts,Review creates confusion,Difference in eWOM and product quality
103,48,Female,SSC,20000-80000,Joint,Urban,Tower,Student,0,Married,Marathi,yes,Agree,Neutral,Strongly disagree,Strongly agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral
104,18,Female,Graduation,80000 and above,Nuclear,Urban,Bunglaw,Service,5,Single,Hindi,yes,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly disagree,Neutral,Agree,Neutral,Neutral
105,26,Female,SSC,0-20000,Joint,Urban,Tower,Student,3,Single,Marathi,yes,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral
106,22,Female,Post Graduation,80000 and above,Joint,Rural,Tower,Service,1,Single,Marathi,yes,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral
107,41,Female,Post Graduation,80000 and above,Joint,Rural,Slum,Student,1,Single,Marathi,no,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral
108,39,Male,Post Graduation,80000 and above,Joint,Rural,Slum,Student,0,Single,Marathi,yes,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Neutral
109,37,Male,Post Graduation,80000 and above,Joint,Rural,Tower,Student,0,Single,Marathi,no,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree
110,27,Female,Post Graduation,20000-80000,Nuclear,Urban,Tower,Student,4,Single,Marathi,yes,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Strongly agree
111,34,Female,Post Graduation,20000-80000,Joint,Urban,Slum,Student,2,Single,Marathi,no,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
112,21,Female,SSC,80000 and above,Joint,Urban,Slum,Service,3,Single,Marathi,yes,Agree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Strongly agree,Neutral,Disagree,Neutral
113,46,Male,Post Graduation,20000-80000,Joint,Urban,Tower,Student,0,Married,Marathi,no,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Agree,Disagree,Strongly agree,Strongly agree
114,19,Male,SSC,0-20000,Joint,Urban,Slum,Other,5,Single,Hindi,yes,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
115,22,Female,Graduation,20000-80000,Joint,Rural,Tower,Service,5,Single,Marathi,yes,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree
116,21,Male,SSC,80000 and above,Nuclear,Urban,Slum,Service,3,Single,Hindi,yes,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree
117,26,Male,HSC,80000 and above,Joint,Rural,Tower,Service,4,Single,Marathi,no,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree
118,23,Male,HSC,0-20000,Nuclear,Rural,Bulding,Student,3,Single,Marathi,yes,Strongly agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Disagree,Disagree
119,20,Male,Graduation,0-20000,Joint,Urban,Tower,Service,1,Single,Marathi,yes,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral
120,23,Male,SSC,0-20000,Joint,Urban,Slum,Student,1,Single,Marathi,yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
121,21,Female,SSC,20000-80000,Nuclear,Urban,Bulding,Service,2,Single,Marathi,yes,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Disagree,Agree,Agree,Neutral
122,54,Female,HSC,80000 and above,Joint,Urban,Tower,Student,0,Married,Hindi,yes,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neutral,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral
123,23,Male,Graduation,0-20000,Joint,Rural,Slum,Student,2,Single,Marathi,yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
124,35,Male,Post Graduation,80000 and above,Joint,Urban,Bunglaw,Other,1,Married,Marathi,yes,Disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Disagree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly disagree,Agree,Disagree,Neutral,Disagree,Disagree
125,23,Male,Post Graduation,20000-80000,Joint,Urban,Slum,Service,3,Single,Marathi,yes,Agree,Neutral,Strongly agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Agree
126,22,Female,SSC,20000-80000,Joint,Urban,Tower,Service,4,Single,Marathi,yes,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
127,24,Male,HSC,80000 and above,Joint,Urban,Tower,Service,1,Single,Marathi,yes,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral
128,46,Female,Graduation,20000-80000,Joint,Rural,Slum,Student,2,Married,Marathi,yes,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Neutral,Agree,Disagree,Neutral
129,24,Male,Graduation,20000-80000,Nuclear,Urban,Tower,Student,3,Single,Hindi,no,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree
130,23,Male,Post Graduation,20000-80000,Joint,Urban,Tower,Service,1,Single,Hindi,yes,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Agree
131,28,Male,Post Graduation,20000-80000,Nuclear,Rural,Slum,Student,5,Single,Marathi,yes,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Agree
132,23,Male,SSC,20000-80000,Joint,Urban,Slum,Service,2,Single,Marathi,no,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Disagree
133,23,Male,Post Graduation,0-20000,Nuclear,Urban,Tower,Other,3,Single,Marathi,yes,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral
134,18,Female,Post Graduation,20000-80000,Joint,Rural,Slum,Service,1,Single,Marathi,yes,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Disagree,Neutral,Disagree,Neutral,Neutral
135,22,Female,Post Graduation,20000-80000,Joint,Urban,Tower,Service,1,Single,English,yes,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Strongly agree,Neutral,Agree
136,22,Male,Post Graduation,20000-80000,Joint,Urban,Tower,Student,5,Single,Hindi,yes,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Strongly disagree,Neutral
137,24,Male,HSC,80000 and above,Joint,Urban,Bulding,Other,3,Single,Hindi,yes,Strongly agree,Strongly agree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral
138,27,Male,Graduation,20000-80000,Joint,Urban,Slum,Student,2,Single,Marathi,yes,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree
139,22,Female,Graduation,20000-80000,Joint,Urban,Bunglaw,Student,0,Single,Marathi,yes,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Disagree,Disagree,Agree,Neutral,Agree
140,22,Male,SSC,20000-80000,Joint,Urban,Slum,Service,1,Single,Marathi,yes,Agree,Strongly agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Strongly agree
141,22,Male,SSC,0-20000,Joint,Urban,Slum,Service,1,Single,Marathi,yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral
142,17,Female,HSC,80000 and above,Nuclear,Urban,Tower,Service,4,Single,Marathi,yes,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral
143,25,Male,Post Graduation,20000-80000,Nuclear,Rural,Tower,Student,0,Single,Marathi,yes,Strongly disagree,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
144,23,Male,Graduation,20000-80000,Joint,Urban,Tower,Service,1,Single,Marathi,yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly disagree,Neutral,Strongly agree,Neutral,Neutral
145,20,Male,Graduation,20000-80000,Joint,Urban,Slum,Service,3,Single,Marathi,no,Agree,Disagree,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral
146,28,Female,HSC,0-20000,Nuclear,Rural,Tower,Other,3,Married,Marathi,yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree
147,27,Female,Post Graduation,20000-80000,Nuclear,Urban,Tower,Student,4,Single,Marathi,yes,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Strongly agree
148,27,Male,Post Graduation,80000 and above,Joint,Urban,Tower,Student,0,Single,Marathi,yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Neutral
149,26,Male,Graduation,20000-80000,Joint,Urban,Tower,Student,0,Single,Marathi,yes,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
150,23,Male,SSC,20000-80000,Nuclear,Urban,Bulding,Service,4,Single,Marathi,yes,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Agree
151,25,Male,Post Graduation,20000-80000,Joint,Rural,Slum,Student,2,Married,Marathi,no,Strongly agree,Neutral,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Disagree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree
152,36,Female,HSC,80000 and above,Nuclear,Urban,Bunglaw,Business,2,Married,Hindi,yes,Disagree,Neutral,Strongly agree,Neutral,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Strongly disagree
153,23,Male,Graduation,0-20000,Joint,Urban,Slum,Student,3,Single,Marathi,yes,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree
154,22,Male,SSC,0-20000,Joint,Urban,Tower,Student,1,Single,Marathi,yes,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree
155,22,Female,HSC,80000 and above,Joint,Urban,Slum,Service,2,Single,Marathi,yes,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Strongly disagree,Agree,Neutral,Strongly disagree,Agree
156,42,Male,HSC,20000-80000,Joint,Urban,Tower,Student,2,Married,Marathi,yes,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral
157,28,Female,HSC,20000-80000,Joint,Urban,Tower,Business,2,Married,Hindi,yes,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Neutral,Strongly disagree,Neutral,Disagree,Neutral,Agree,Strongly disagree
158,22,Female,SSC,20000-80000,Joint,Urban,Tower,Service,2,Single,Marathi,yes,Agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral
159,22,Female,SSC,20000-80000,Joint,Urban,Tower,Service,1,Single,Marathi,yes,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree
160,35,Male,Post Graduation,20000-80000,Nuclear,Rural,Bunglaw,Student,4,Married,Hindi,no,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree
161,24,Female,Post Graduation,20000-80000,Joint,Urban,Slum,Service,3,Single,English,yes,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral
162,35,Male,SSC,80000 and above,Nuclear,Rural,Slum,Other,0,Single,Marathi,yes,Disagree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Strongly disagree,Disagree,Neutral,Disagree,Disagree,Agree
163,22,Female,Post Graduation,80000 and above,Joint,Rural,Tower,Service,2,Single,Marathi,yes,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Strongly disagree,Neutral,Disagree,Disagree
164,36,Male,P.Hd,80000 and above,Nuclear,Urban,Bunglaw,Student,3,Married,Hindi,no,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree
165,19,Male,Post Graduation,80000 and above,Joint,Urban,Slum,Service,1,Single,Marathi,yes,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree
166,23,Female,Post Graduation,20000-80000,Joint,Urban,Tower,Student,0,Single,Marathi,yes,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Neutral,Disagree,Agree
167,22,Male,Post Graduation,0-20000,Joint,Urban,Tower,Student,3,Single,Marathi,yes,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
168,23,Male,SSC,80000 and above,Nuclear,Urban,Tower,Student,1,Single,Marathi,yes,Disagree,Neutral,Strongly agree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree
169,22,Male,HSC,20000-80000,Joint,Urban,Tower,Student,0,Single,Marathi,yes,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree
170,21,Male,Graduation,20000-80000,Joint,Rural,Tower,Service,2,Single,Marathi,yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Disagree
171,46,Female,SSC,20000-80000,Joint,Rural,Slum,Business,4,Married,Marathi,yes,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Strongly disagree,Neutral
172,30,Male,Post Graduation,20000-80000,Joint,Urban,Slum,Student,3,Married,Marathi,yes,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Neutral,Disagree,Neutral
173,22,Female,SSC,80000 and above,Joint,Urban,Tower,Service,3,Single,English,yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Agree
174,22,Female,Post Graduation,80000 and above,Joint,Urban,Tower,Service,3,Single,English,yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree
175,28,Female,Post Graduation,20000-80000,Joint,Rural,Bulding,Student,1,Single,Marathi,yes,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree
176,22,Female,SSC,20000-80000,Nuclear,Rural,Slum,Student,1,Single,Marathi,yes,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Neutral,Neutral,Strongly disagree,Agree,Strongly disagree
177,22,Male,SSC,20000-80000,Joint,Urban,Tower,Student,1,Single,Marathi,no,Agree,Agree,Agree,Neutral,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree
178,23,Female,Graduation,80000 and above,Joint,Urban,Bunglaw,Service,0,Single,English,yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral
179,30,Female,Post Graduation,80000 and above,Joint,Rural,Slum,Other,5,Married,Hindi,no,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
180,30,Female,P.Hd,80000 and above,Nuclear,Urban,Slum,Other,4,Married,Marathi,no,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
181,36,Female,SSC,80000 and above,Nuclear,Urban,Bunglaw,Student,0,Married,Hindi,no,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
182,25,Female,Post Graduation,80000 and above,Joint,Urban,Bunglaw,Student,2,Single,Marathi,yes,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral
183,23,Male,HSC,0-20000,Nuclear,Urban,Slum,Service,0,Single,Hindi,yes,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Agree
184,44,Male,SSC,20000-80000,Nuclear,Urban,Tower,Other,0,Single,English,yes,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Agree,Neutral,Strongly disagree,Disagree
185,45,Female,Graduation,20000-80000,Joint,Urban,Tower,Student,2,Married,Marathi,yes,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly agree
186,34,Female,HSC,0-20000,Nuclear,Urban,Bulding,Student,0,Single,Marathi,no,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree
187,23,Female,Post Graduation,80000 and above,Joint,Urban,Tower,Student,1,Single,Marathi,yes,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree
188,22,Male,SSC,0-20000,Joint,Urban,Slum,Service,2,Single,Marathi,yes,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Agree
189,22,Male,Post Graduation,20000-80000,Joint,Rural,Bulding,Service,2,Single,Hindi,yes,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree
190,25,Male,Post Graduation,80000 and above,Joint,Urban,Bunglaw,Student,0,Single,Marathi,yes,Agree,Strongly agree,Strongly disagree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly disagree,Neutral,Agree,Disagree,Neutral
191,22,Female,SSC,0-20000,Joint,Urban,Bulding,Service,3,Single,English,yes,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree
192,23,Male,Post Graduation,80000 and above,Joint,Rural,Slum,Service,3,Single,Hindi,no,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Neutral,Strongly agree,Strongly agree,Strongly agree
193,46,Female,P.Hd,80000 and above,Joint,Rural,Tower,Student,1,Married,Others,yes,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Disagree,Neutral,Neutral,Strongly agree,Strongly disagree,Neutral
194,21,Female,Post Graduation,0-20000,Joint,Urban,Slum,Service,3,Single,Hindi,yes,Strongly disagree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree
195,19,Male,Post Graduation,0-20000,Joint,Urban,Tower,Service,2,Single,Marathi,yes,Strongly disagree,Agree,Neutral,Strongly disagree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree
196,17,Male,SSC,0-20000,Joint,Urban,Slum,Service,2,Single,Marathi,no,Strongly agree,Disagree,Agree,Disagree,Agree,Strongly agree,Agree,Disagree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree
197,17,Female,SSC,80000 and above,Nuclear,Rural,Slum,Service,1,Single,Marathi,yes,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Agree,Strongly agree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Strongly disagree,Strongly disagree
198,25,Female,SSC,20000-80000,Joint,Rural,Bulding,Service,2,Single,Marathi,yes,Strongly agree,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Disagree,Neutral,Disagree,Strongly agree,Strongly disagree,Strongly disagree
199,22,Male,HSC,20000-80000,Joint,Urban,Tower,Service,2,Single,Marathi,yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree
200,21,Male,Graduation,0-20000,Joint,Urban,Bulding,Student,3,Single,Marathi,yes,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Disagree,Agree
201,23,Female,Post Graduation,20000-80000,Joint,Urban,Tower,Service,3,Single,Marathi,yes,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Strongly agree,Neutral
202,31,Male,HSC,20000-80000,Joint,Urban,Bunglaw,Student,3,Married,Marathi,yes,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree
203,24,Male,Graduation,80000 and above,Nuclear,Urban,Slum,Service,4,Single,English,yes,Strongly agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Strongly disagree,Disagree,Disagree,Strongly disagree,Neutral
204,21,Male,Graduation,20000-80000,Joint,Rural,Slum,Service,2,Single,Marathi,yes,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Strongly disagree
205,23,Female,SSC,0-20000,Joint,Urban,Slum,Student,0,Single,Marathi,yes,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Disagree,Neutral,Agree
